id,notes,embryonic_stem_cell_line_id,line_property_type_id,transgenic_line_id,locus_id,created_at,created_by,updated_at,updated_by
b8ee4d27-cf5f-4dc0-af7b-2f63b09ae5c6,,2150ebe7-0ccc-483f-9f7b-05dac5bcaae9,39f77348-3886-406f-ba6b-507fd73d1ad9,069de781-688e-4902-928a-af1379c3413d,eafc9dbb-b632-4073-b9e9-9c6c970901e3,,,,
953edde3-50bd-4c9c-8cf2-9751b515a134,,6635dab7-d673-4672-80f3-f5afc8af71a5,e4a8448b-7322-4e1b-9f6d-fff8be5fedbd,dfeae517-3e95-4426-852b-da512eee980c,42c2d414-4995-4c9b-86f2-77d0d05b6d28,,,,
5918974b-60be-405b-99c7-7759d5391729,,0967a87a-efef-4fbd-b493-d973cd6909d6,15807ed1-0fbc-44c6-9530-46ea2af89073,8a8640ea-f295-4025-b84d-023672071617,f1230d28-9a93-456b-bc9f-ebedd897ef72,,,,
8b87d08b-b684-465b-be7f-2dc572c0c292,,b2896533-3859-4bd1-83db-f84cd94932bc,a9725442-eb89-4864-a9b5-a8fff814b0df,37740668-159f-49d5-9e25-1413a1f30cda,534d557b-bae8-4961-a8a5-7aeb5167650b,,,,
943314a4-bd79-4733-930f-94c2166cf486,,5bcc7ffb-bedf-42c0-a343-15c1efd9c70c,f6432ddb-98d7-4d1e-a6b9-a3f52fe2fd91,d04f32ea-4e6f-41fe-a2e2-cb4dd849fe28,fdf475f3-4830-487f-8cf5-6e3b7da67c5d,,,,
d5675c15-a595-48e7-9192-754e22d370ef,,4f2c1c76-3b60-49ca-a7a9-0f6c357b135d,7fe74b4a-999d-4593-ac0c-592957fd7c81,0e20a660-82b8-4b40-9f93-f9af9ec8c6f3,20c1daea-249c-4658-8b6f-7408f273e28c,,,,
8f37a2e5-67ab-4a9c-90cd-006afc712eaf,,8de14c83-feb7-4cf4-a37b-f3bd410e5532,2a09957e-781a-4af7-9998-ac312d4f324d,31dfa2eb-8a93-44c9-810e-95e74aa3273c,ce83b332-e0f2-47df-b35a-cabccdf3bff0,,,,
d4b4e9da-23f5-4e11-a50c-262b4a72c2c3,,5f0b1456-b3e1-4733-aba4-3a8331617aa8,945d61fa-fc76-49ee-a808-d2b3679de0a6,e251fa65-924a-433c-8783-3c2878927792,c0bfe0e5-802e-4375-b71b-0fefaf882a74,,,,
69df5a6e-e175-4200-a04d-8e83dae97b6c,,4e56bc11-e426-43d9-aeb6-76f66927aec7,f0573c2a-1c8d-4223-8bf5-8427ce7c460c,bb2f133d-7047-4ffe-8d6c-ed61d3ed9da9,b8cc4274-012a-4a6e-88a9-6dc16c1d39af,,,,
54ef5b40-1107-4115-829d-61de7fd77b09,,da8c6dba-6b59-46ed-af2d-882cf6b4e896,1194d6ba-7e3b-44ad-bfa7-68fd9173a360,66b99915-3112-4ea9-ae32-aa24afb70d44,8562dee6-38d7-4eb8-8fc7-4dec7f0de663,,,,
939ae751-d9cf-4ec8-ad6a-8f849e27ac47,,33cbb724-40e4-43df-acbf-d18197b89018,945d61fa-fc76-49ee-a808-d2b3679de0a6,2f5deced-1822-4135-a360-08d5ccfaa1b2,f1230d28-9a93-456b-bc9f-ebedd897ef72,,,,
24ab1d9e-887c-4d81-b85d-1ac78bd525d9,,5f0b1456-b3e1-4733-aba4-3a8331617aa8,e996ac1d-dfaf-4e68-b4b4-cb2a4401cafb,f7d63afd-4f50-4bf8-84be-ac79be13d7a5,7a255e62-ddd6-4d53-92a2-4958b3c5bb52,,,,
1df7c31b-746f-4163-a0f1-653c42fe4b76,,f50efb37-b83e-4ff5-9ab7-954bc832e49f,7af9a944-5d82-4e97-a015-5394d6699662,42dd93f2-4410-440d-a87e-0a27a1c14a4a,0cf2d2ec-8d09-4c2d-949c-06fe0d6d0820,,,,
2561ab51-8e58-482b-baf3-f0ced52ddaa6,,8999c2c6-eddb-44dd-91ed-b1288d434e6e,8b530c07-3417-4ed3-a3d8-056aa453f2f9,f9fa898d-0137-4598-8425-2a2e20e857ea,7cb57c2c-ea7f-4e4d-88f3-3b5f9ba8f5c6,,,,
1dfd96a2-0a65-42b0-9131-330344d4f52b,,8e96e92b-61af-479f-841d-f0950f0647e6,78758eea-819e-4466-b688-0557d12e4f1a,c9135056-7dad-4e3d-bc80-c0f129ef56cc,62ae5a05-e5e6-4b51-afa6-25cd5787d973,,,,
